來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
google / cpc,20250901,遠雄一靚｜楠梓新案．高大特區首發｜早鳥預約中,/buildings/eh2/,24253,30511,32315,1.3324124850533954,9.80719910938853
google / cpc,20250918,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,11859,12692,14423,1.2162071000927566,11.385698625516484
line-lap / ar1,20250718,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,7131,9519,9705,1.3609591922591502,6.268966484364045
line-lap / bh7,lap-1,【遠雄樂元】北屯機捷X好市多，雙首排大道最核心，夠近才最好,/buildings/bh7/,3551,6950,7841,2.2081103914390314,26.02421852999155
line-lap / bh5,(referral),遠雄琉蘊 -台中市西屯區七期預售屋/新建案-預約賞屋，遠雄房地產,/buildings/bh5/,5538,6431,6709,1.2114481762369087,141.1366919465511
google / cpc,20250718,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,5795,6324,6846,1.1813632441760138,6.900431406384815
(direct) / (none),(direct),遠房實價登錄,/,6098,6141,6470,1.0610036077402427,0.1397179403082978
line / bh11,20250918,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,4545,6104,6194,1.3628162816281628,10.080528052805281
ttd / bh11,20250918,遠雄14期首發【遠雄丰尚】北屯新案．近漢神洲際百貨,/buildings/bh11/,4264,5680,6162,1.4451219512195121,3.530722326454034
line-lap / bh5,(referral),遠房實價登錄,/,4557,5242,5504,1.2078121571209128,0.017335966644722405
google / cpc,gdn-01,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,4525,5033,5492,1.2137016574585635,6.6293922651933705
line-lap / ar1,20251017-2-1,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,3580,4900,5005,1.3980446927374302,7.691340782122905
google / cpc,20251017-2-1,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,3907,4410,4687,1.1996416687995906,7.317379063219862
google / cpc,gdn-02,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,3280,3537,3994,1.2176829268292684,4.7298780487804875
line-lap / bh10,line-lap20256-8,北屯敦富路【遠雄敦富】- 北屯機捷預售屋．近好市多,/buildings/bh10/,2314,3129,3644,1.5747623163353501,18.196629213483146
line-lap / ar1,20250718,遠房實價登錄,/,2774,3074,3196,1.1521268925739006,0
google / organic,(organic),贈與稅與遺產稅免稅額提高，房屋轉讓給子女的規劃要點 - 遠雄房地產,/life-proposal/gift_tax/,2564,2955,3119,1.216458658346334,130.63494539781593
google / cpc,20250718,遠房實價登錄,/,2680,2728,2925,1.0914179104477613,0
