來源/媒介,廣告活動,網頁標題,網頁路徑,所有使用者,工作階段,瀏覽,平均觀看次數,平均使用者參與
line-lap / ar1,20260413-8-3,遠房實價登錄,/,16074,19257,19892,1.2375264402140103,0.0006843349508523081
line-lap / ar1,20260413-8-3,齊興_緻：北士科住宅預售屋，入主北投核心地段，立即預約賞屋,/buildings/ar1/,12296,14506,15027,1.2221047495120365,13.526837996096292
fb / dh6,3-cpc,【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6/,11792,11648,12059,1.0226424694708276,0.2315976933514247
(direct) / (none),(direct),遠房實價登錄,/,11293,11324,12833,1.1363676613831577,0.1835650402904454
line-lap / ar1,20260413-8-3,齊興_緻-台北市北投區/北士科住宅預售屋,/buildings/ar1/,7624,8929,9218,1.2090766002098636,13.27400314795383
fb / dh6,3-cpc,遠房實價登錄,/,8885,8657,8986,1.0113674732695555,0
google / cpc,dgc,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,7263,8334,10261,1.412777089357015,13.367341319014182
line-lap / 5vo1,2-7,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,5405,7902,8406,1.5552266419981498,37.787234042553195
line-lap / ar1,20260424-8-5,遠房實價登錄,/,6329,7527,8015,1.2663927950703113,0.02054036972665508
line-lap / ar1,20260424-8-5,齊興_緻：北士科住宅預售屋，入主北投核心地段，立即預約賞屋,/buildings/ar1/,5777,6804,7126,1.2335122035658646,16.816340661242858
fb / dh6,2-cpc,【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6/,6438,6527,6626,1.029201615408512,0.3872320596458527
line-lap / 5vo1,5-1,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,5503,6524,6798,1.2353261857168818,12.284753770670543
line-lap / wdh2,line-lap4-3,天母蒔麗｜15~25坪．1-2房｜北投行義路，近石牌站,/buildings/wdh2/,4813,6166,6377,1.3249532516102223,5.824641595678371
fb / hm2,0201,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,5846,5973,6043,1.0336982552172425,1.2536777283612726
line-lap / rsh1,line-lap4-2,若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1/,3904,4947,5252,1.3452868852459017,2.4572233606557377
google / cpc,gdn,遠雄蘴靚｜高雄楠梓新門戶｜捷運R21站旁｜3795坪豪闊基地,/buildings/eh6/,4482,4879,5597,1.248772869254797,10.620481927710843
fb / dh6,2-cpc,遠房實價登錄,/,4814,4752,4856,1.0087245533859577,0
fb / dh6,5-cpc,【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6/,4609,4674,4707,1.0212627467997397,0.522889997830332
fb / dh6,6-cpc,【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6/,4442,4494,4560,1.0265646105357946,0.584871679423683
line-lap / wdh2,line-lap4-3_600x400,天母蒔麗｜15~25坪．1-2房｜北投行義路，近石牌站,/buildings/wdh2/,3068,4338,4538,1.4791395045632334,20.431877444589308
gdn / hm2,0208,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,3953,4304,4691,1.1866936503921073,11.098153301290159
line-lap / rsh1,line-lap4-2_600x400,若水秧翠｜東京視野・頂埔門牌｜1~3房．20~42坪,/buildings/rsh1/,3258,4303,4582,1.4063842848373236,19.920810313075506
line-lap / 5vo1,2-6,聯上智科｜北士科AI總部 輝達核心軸線 -台北市北投區商辦/預售新建案-預約賞屋，遠創力行銷,/buildings/5vo1/,3545,4193,4343,1.2251057827926657,11.30296191819464
line-lap / hm2,0201,遠雄MetaLink科技園區 | 機捷A7．A8站▕ VIP企業席次開放預約中,/buildings/hm2/,2710,3817,4130,1.5239852398523985,20.82140221402214
fb / dh6,1,【遠雄蘊合】千坪旗艦，親水生活｜收納中西區最美流動26-43坪．新案早鳥預約,/buildings/dh6/,3521,3525,3630,1.0309571144561205,2.9818233456404433
fb / dh6,5-cpc,遠房實價登錄,/,3374,3380,3398,1.007113218731476,0
fb / dh6,6-cpc,遠房實價登錄,/,3365,3346,3391,1.0077265973254086,0
