廣告事件名稱,廣告活動名稱,廣告版位,圖片名稱,曝光,點擊,點閱率
20260108_In-Content_campaign_KH,高雄三民,BN_article,第一段_20260108_內文_EH2,1,0,0
20260108_In-Content_campaign_KH,高雄三民,BN_article,第一段_20260108_內文_EH5,1,0,0
20260108_In-Content_campaign_KH1,高雄,BN_article,第一段_20260108_內文_EH2,12,0,0
20260108_In-Content_campaign_KH2,高雄楠梓,BN_article,第一段_20260108_內文_EH2,14,0,0
20260108_In-Content_campaign_KH2_area-ka,高雄楠梓,BN_article,第一段_20260108_內文_EH2,1,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH1,54,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH2,64,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第二段_20260108_內文_EH1,3,1,0.3333333333333333
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH1,18,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH2,19,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第二段_20260108_內文_EH5,19,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH1,12,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH1,40,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH2,13,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH2,64,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH5,21,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH1,22,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第二段_20260108_內文_EH5,13,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH5,40,0,0
20260108_In-Content_campaign_KH_area-pre,高雄,BN_article,第一段_20260108_內文_EH1,1,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH1,125,0,0
20260108_In-Content_campaign_KH_area-pre,高雄,BN_article,第一段_20260108_內文_EH2,1,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH2,129,0,0
20260108_In-Content_campaign_KH_area-pre,高雄,BN_article,第二段_20260108_內文_EH5,1,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第二段_20260108_內文_EH5,129,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_20260108_內文_EH1,46,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_20260108_內文_EH1,47,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_20260108_內文_EH2,16,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_20260108_內文_EH2,46,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_20260108_內文_EH2,52,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_20260108_內文_EH5,16,1,0.0625
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第二段_20260108_內文_EH1,15,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第二段_20260108_內文_EH5,46,0,0
20260108_In-Content_campaign_NB,新北板橋,BN_article,第一段_20260108_內文_FH2,29,0,0
20260108_In-Content_campaign_NB,新北板橋,BN_article,第一段_20260108_內文_rsh1,27,0,0
20260108_In-Content_campaign_NB,新北板橋,BN_article,第二段_20260108_內文_cqh1,29,0,0
20260108_In-Content_campaign_NT_area-l-n,新北中和,BN_article,第一段_20260108_內文_FH2,29,0,0
20260108_In-Content_campaign_NT_area-l-n,新北中和,BN_article,第一段_20260108_內文_rsh3,28,0,0
20260108_In-Content_campaign_NT_area-l-n,新北中和,BN_article,第二段_20260108_內文_AH3,27,0,0
20260108_In-Content_campaign_NT_area-l-n,新北中和,BN_article,第二段_20260108_內文_cqh3,29,0,0
20260108_In-Content_campaign_NT_area-s-n,新北新莊,BN_article,第一段_20260108_內文_FH2,12,0,0
20260108_In-Content_campaign_NT_area-s-n,新北新莊,BN_article,第一段_20260108_內文_rsh1,11,0,0
20260108_In-Content_campaign_NT_area-s-n,新北新莊,BN_article,第二段_20260108 內文 Dgm1,10,0,0
20260108_In-Content_campaign_NT_area-s-n,新北新莊,BN_article,第二段_20260108_內文_5vo1,1,0,0
20260108_In-Content_campaign_NT_area-s-n,新北新莊,BN_article,第二段_20260108_內文_cqh1,12,1,0.08333333333333333
20260108_In-Content_campaign_NT_area-s-t,新北板橋,BN_article,第一段_20260108_內文_FH2,102,1,0.00980392156862745
20260108_In-Content_campaign_NT_area-s-t,新北板橋,BN_article,第一段_20260108_內文_FH3,1,0,0
20260108_In-Content_campaign_NT_area-s-t,新北板橋,BN_article,第一段_20260108_內文_rsh1,77,0,0
20260108_In-Content_campaign_NT_area-s-t,新北板橋,BN_article,第一段_20260108_內文_rsh2,24,0,0
20260108_In-Content_campaign_NT_area-s-t,新北板橋,BN_article,第二段_20260108_內文_AH1,70,0,0
20260108_In-Content_campaign_NT_area-s-t,新北板橋,BN_article,第二段_20260108_內文_AH2,20,0,0
20260108_In-Content_campaign_NT_area-s-t,新北板橋,BN_article,第二段_20260108_內文_cqh1,79,0,0
20260108_In-Content_campaign_NT_area-s-t,新北板橋,BN_article,第二段_20260108_內文_cqh2,24,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第一段_20260108_內文_BH11,65,0,0
20260108_In-Content_campaign_TC,台中北屯,BN_article,第一段_20260108_內文_BH11,9,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第一段_20260108_內文_BH5,18,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第一段_20260108_內文_BH7,48,0,0
20260108_In-Content_campaign_TC,台中北屯,BN_article,第一段_20260108_內文_BH7,9,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第一段_20260108_內文_BH9,10,0,0
20260108_In-Content_campaign_TC,台中梧棲,BN_article,第一段_20260108_內文_BH9,1,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第一段_20260108_內文_H707,11,0,0
20260108_In-Content_campaign_TC,台中梧棲,BN_article,第一段_20260108_內文_H707,1,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第一段_20260108_內文_H713,12,0,0
20260108_In-Content_campaign_TC,台中梧棲,BN_article,第一段_20260108_內文_H713,1,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第一段_undefined,16,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第二段_20260108_內文_BH11,11,0,0
20260108_In-Content_campaign_TC,台中梧棲,BN_article,第二段_20260108_內文_BH11,1,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第二段_20260108_內文_BH5,60,1,0.016666666666666666
20260108_In-Content_campaign_TC,台中北屯,BN_article,第二段_20260108_內文_BH5,9,0,0
20260108_In-Content_campaign_TC,台中梧棲,BN_article,第二段_20260108_內文_BH5,1,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第二段_20260108_內文_BH9,63,2,0.031746031746031744
20260108_In-Content_campaign_TC,台中北屯,BN_article,第二段_20260108_內文_BH9,9,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第二段_20260108_內文_H707,18,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第二段_20260108_內文_H713,18,0,0
20260108_In-Content_campaign_TC,台中,BN_article,第二段_undefined,10,0,0
20260108_In-Content_campaign_TC,台中梧棲,BN_article,第二段_undefined,1,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第一段_20260108_內文_BH11,2,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第一段_20260108_內文_BH5,2,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第一段_20260108_內文_BH9,2,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第二段_20260108_內文_BH7,2,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第二段_https://www.farglory-realty.com.tw/wp-content/uploads/2026/01/20260108_內文_H707.jpg,2,0,0
20260108_In-Content_campaign_TC_area-l-t,台中西屯,BN_article,第一段_20260108_內文_BH11,7,0,0
20260108_In-Content_campaign_TC_area-l-t,台中北屯,BN_article,第一段_20260108_內文_BH11,15,0,0
20260108_In-Content_campaign_TC_area-l-t,台中西屯,BN_article,第一段_20260108_內文_BH5,8,0,0
20260108_In-Content_campaign_TC_area-l-t,台中北屯,BN_article,第一段_20260108_內文_BH7,15,0,0
20260108_In-Content_campaign_TC_area-l-t,台中梧棲,BN_article,第一段_20260108_內文_BH9,4,0,0
20260108_In-Content_campaign_TC_area-l-t,台中梧棲,BN_article,第一段_20260108_內文_H707,5,0,0
20260108_In-Content_campaign_TC_area-l-t,台中梧棲,BN_article,第一段_20260108_內文_H713,5,0,0
20260108_In-Content_campaign_TC_area-l-t,台中西屯,BN_article,第一段_undefined,7,0,0
20260108_In-Content_campaign_TC_area-l-t,台中梧棲,BN_article,第二段_20260108_內文_BH11,5,0,0
20260108_In-Content_campaign_TC_area-l-t,台中北屯,BN_article,第二段_20260108_內文_BH5,15,0,0
20260108_In-Content_campaign_TC_area-l-t,台中梧棲,BN_article,第二段_20260108_內文_BH5,5,0,0
20260108_In-Content_campaign_TC_area-l-t,台中西屯,BN_article,第二段_20260108_內文_BH9,7,0,0
20260108_In-Content_campaign_TC_area-l-t,台中北屯,BN_article,第二段_20260108_內文_BH9,15,0,0
20260108_In-Content_campaign_TC_area-l-t,台中西屯,BN_article,第二段_20260108_內文_H707,7,0,0
20260108_In-Content_campaign_TC_area-l-t,台中西屯,BN_article,第二段_20260108_內文_H713,8,0,0
20260108_In-Content_campaign_TC_area-l-t,台中梧棲,BN_article,第二段_undefined,4,0,0
20260108_In-Content_campaign_TC_area-pre,台中全區,BN_article,第一段_20260108_內文_BH11,111,0,0
20260108_In-Content_campaign_TC_area-pre,台中全區,BN_article,第一段_20260108_內文_BH5,115,0,0
20260108_In-Content_campaign_TC_area-pre,台中全區,BN_article,第一段_20260108_內文_BH7,108,0,0
