廣告事件名稱,廣告活動名稱,廣告版位,圖片名稱,曝光,點擊,點閱率
20260108_In-Content_campaign_KH1,高雄,BN_article,第一段_20260108_內文_EH2,53,0,0
20260108_In-Content_campaign_KH2,高雄楠梓,BN_article,第一段_20260108_內文_EH2,87,0,0
20260108_In-Content_campaign_NB,新北板橋,BN_article,第一段_20260108_內文_FH2,111,0,0
20260108_In-Content_campaign_NB,新北板橋,BN_article,第一段_20260108_內文_rsh1,110,0,0
20260108_In-Content_campaign_NB,新北板橋,BN_article,第二段_20260108_內文_cqh1,111,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第一段_20260108_內文_BH11,52,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第一段_20260108_內文_BH5,66,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第一段_20260108_內文_BH9,66,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第二段_20260108_內文_BH7,66,0,0
20260108_In-Content_campaign_TC1,台中西屯,BN_article,第二段_https://www.farglory-realty.com.tw/wp-content/uploads/2026/01/20260108_內文_H707.jpg,66,0,0
20260108_In-Content_campaign_TC2,台中西屯,BN_article,第一段_20260108_內文_BH11,19,1,0.05263157894736842
20260108_In-Content_campaign_TC2,台中西屯,BN_article,第一段_20260108_內文_BH5,26,0,0
20260108_In-Content_campaign_TC2,台中西屯,BN_article,第一段_20260108_內文_H707,26,0,0
20260108_In-Content_campaign_TC2,台中西屯,BN_article,第二段_20260108_內文_BH9,26,0,0
20260108_In-Content_campaign_TC2,台中西屯,BN_article,第二段_20260108_內文_H713,26,0,0
20260108_In-Content_campaign_TP,北投士林,BN_article,第一段_20260108 內文 Dgm1,374,0,0
20260108_In-Content_campaign_TP,北投士林,BN_article,第一段_20260108_內文_5vo1,44,0,0
20260108_In-Content_campaign_TP,北投士林,BN_article,第一段_20260108_內文_AH2,337,0,0
20260108_In-Content_campaign_TP,北投士林,BN_article,第一段_https://www.farglory-realty.com.tw/wp-content/uploads/2026/01/20260108_內文_dgm1.jpg,2,0,0
20260108_In-Content_campaign_TP,北投士林,BN_article,第二段_20260108_內文_5vo1,330,0,0
20260108_In-Content_campaign_TP,北投士林,BN_article,第二段_20260108_內文_AH2,46,1,0.021739130434782608
20260108_In-Content_campaign_TY,桃園,BN_article,第一段_20260108_內文_HM2,107,2,0.018691588785046728
