廣告事件名稱,廣告活動名稱,廣告版位,圖片名稱,曝光,點擊,點閱率
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH1,76,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH2,78,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_LINE_PROMO,71,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH1,42,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH2,44,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_LINE_PROMO,42,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第二段_20260108_內文_EH5,44,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH1,57,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH1,11,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH2,11,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH2,74,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH5,15,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_LINE_PROMO,10,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_LINE_PROMO,71,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH1,15,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH5,59,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第二段_20260108_內文_EH5,11,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH1,153,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH2,164,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_LINE_PROMO,149,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第二段_20260108_內文_EH5,164,0,0
