廣告事件名稱,廣告活動名稱,廣告版位,圖片名稱,曝光,點擊,點閱率
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH1,93,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH2,95,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_LINE_PROMO,90,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH1,85,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH2,85,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_LINE_PROMO,83,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第二段_20260108_內文_EH5,85,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH1,26,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH1,125,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH2,26,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH2,147,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH5,20,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_LINE_PROMO,25,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_LINE_PROMO,141,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH1,20,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH5,127,1,0.007874015748031496
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第二段_20260108_內文_EH5,26,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH1,230,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH2,239,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_LINE_PROMO,218,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第二段_20260108_內文_EH5,239,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_20260108_內文_EH1,30,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_20260108_內文_EH1,68,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_20260108_內文_EH2,23,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_20260108_內文_EH2,70,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_20260108_內文_EH2,32,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_20260108_內文_EH5,23,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_LINE_PROMO,22,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_LINE_PROMO,64,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_LINE_PROMO,28,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第二段_20260108_內文_EH1,23,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第二段_20260108_內文_EH5,70,1,0.014285714285714285
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_20260108_內文_H707,95,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_20260108_內文_H713,95,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_LINE_PROMO,93,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第二段_20260108_內文_DH2,95,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第二段_20260108_內文_EH1,93,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第二段_20260108_內文_EH5,95,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第一段_20260108_內文_5vo1,60,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第一段_20260108_內文_AH2,61,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第一段_LINE_PROMO,58,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第二段_20260108_內文_FH2,58,1,0.017241379310344827
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第二段_20260108_內文_cqh1,60,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第二段_20260108_內文_rsh1,61,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_BH11,276,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_BH5,325,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_BH7,106,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_BH9,271,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_FH2,52,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_H707,13,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_H713,110,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_HM2,229,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_cqh1,42,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_LINE_PROMO,687,0,0
20260108_In-Content_campaign_LIFE_floor-,生活提案,BN_article,第一段_20260108_內文_cqh1,269,0,0
20260108_In-Content_campaign_LIFE_floor-,生活提案,BN_article,第一段_20260108_內文_rsh1,273,0,0
20260108_In-Content_campaign_LIFE_floor-,生活提案,BN_article,第一段_LINE_PROMO,257,0,0
20260108_In-Content_campaign_LIFE_floor-,生活提案,BN_article,第二段_20260108_內文_BH5,257,0,0
20260108_In-Content_campaign_LIFE_floor-,生活提案,BN_article,第二段_20260108_內文_BH9,269,0,0
20260108_In-Content_campaign_LIFE_floor-,生活提案,BN_article,第二段_20260108_內文_HM2,273,0,0
20260108_In-Content_campaign_LIFE_gift-t,生活提案,BN_article,第一段_20260108_內文_AH1,1286,0,0
20260108_In-Content_campaign_LIFE_gift-t,生活提案,BN_article,第一段_20260108_內文_AH2,1265,0,0
20260108_In-Content_campaign_LIFE_gift-t,生活提案,BN_article,第一段_LINE_PROMO,1236,0,0
20260108_In-Content_campaign_LIFE_gift-t,生活提案,BN_article,第二段_20260108 內文 Dgm1,1284,3,0.002336448598130841
20260108_In-Content_campaign_LIFE_gift-t,生活提案,BN_article,第二段_20260108_內文_cqh1,1234,2,0.0016207455429497568
20260108_In-Content_campaign_LIFE_gift-t,生活提案,BN_article,第二段_20260108_內文_rsh1,1265,2,0.0015810276679841897
20260108_In-Content_campaign_LIFE_glass-,生活提案,BN_article,第一段_20260108_內文_BH11,32,0,0
20260108_In-Content_campaign_LIFE_glass-,生活提案,BN_article,第一段_20260108_內文_BH5,33,0,0
20260108_In-Content_campaign_LIFE_glass-,生活提案,BN_article,第一段_LINE_PROMO,31,1,0.03225806451612903
20260108_In-Content_campaign_LIFE_glass-,生活提案,BN_article,第二段_20260108_內文_EH2,31,0,0
20260108_In-Content_campaign_LIFE_glass-,生活提案,BN_article,第二段_20260108_內文_H707,31,0,0
20260108_In-Content_campaign_LIFE_glass-,生活提案,BN_article,第二段_20260108_內文_H713,33,0,0
20260108_In-Content_campaign_LIFE_home-i,生活提案,BN_article,第一段_20260108_內文_DH2,270,0,0
20260108_In-Content_campaign_LIFE_home-i,生活提案,BN_article,第一段_20260108_內文_EH1,261,0,0
20260108_In-Content_campaign_LIFE_home-i,生活提案,BN_article,第一段_LINE_PROMO,246,0,0
20260108_In-Content_campaign_LIFE_home-i,生活提案,BN_article,第二段_20260108 內文 Dgm1,245,0,0
20260108_In-Content_campaign_LIFE_home-i,生活提案,BN_article,第二段_20260108_內文_5vo1,261,0,0
20260108_In-Content_campaign_LIFE_home-i,生活提案,BN_article,第二段_20260108_內文_AH2,270,0,0
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第一段_20260108_內文_BH7,200,0,0
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第一段_20260108_內文_FH2,637,0,0
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第一段_20260108_內文_H713,195,0,0
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第一段_20260108_內文_cqh1,646,0,0
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第一段_LINE_PROMO,811,2,0.002466091245376079
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第二段_20260108_內文_BH11,624,1,0.0016025641025641025
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第二段_20260108_內文_BH5,637,2,0.0031397174254317113
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第二段_20260108_內文_BH9,646,6,0.009287925696594427
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第二段_20260108_內文_DH2,187,0,0
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第二段_20260108_內文_EH2,200,0,0
20260108_In-Content_campaign_LIFE_house-,生活提案,BN_article,第二段_20260108_內文_EH5,195,0,0
20260108_In-Content_campaign_LIFE_kw-bra,生活提案,BN_article,第一段_20260108_內文_EH2,131,0,0
20260108_In-Content_campaign_LIFE_kw-bra,生活提案,BN_article,第一段_20260108_內文_H707,133,0,0
20260108_In-Content_campaign_LIFE_kw-bra,生活提案,BN_article,第一段_LINE_PROMO,125,0,0
20260108_In-Content_campaign_LIFE_kw-bra,生活提案,BN_article,第二段_20260108_內文_AH1,124,0,0
20260108_In-Content_campaign_LIFE_kw-bra,生活提案,BN_article,第二段_20260108_內文_DH2,133,0,0
20260108_In-Content_campaign_LIFE_kw-bra,生活提案,BN_article,第二段_20260108_內文_EH1,131,0,0
20260108_In-Content_campaign_LIFE_kw-del,生活提案,BN_article,第一段_20260108_內文_BH9,337,0,0
20260108_In-Content_campaign_LIFE_kw-del,生活提案,BN_article,第一段_20260108_內文_HM2,343,1,0.0029154518950437317
20260108_In-Content_campaign_LIFE_kw-del,生活提案,BN_article,第一段_LINE_PROMO,331,0,0
20260108_In-Content_campaign_LIFE_kw-del,生活提案,BN_article,第二段_20260108_內文_BH11,343,0,0
20260108_In-Content_campaign_LIFE_kw-del,生活提案,BN_article,第二段_20260108_內文_BH7,337,0,0
