廣告事件名稱,廣告活動名稱,廣告版位,圖片名稱,曝光,點擊,點閱率
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH1,50,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_20260108_內文_EH2,51,0,0
20260108_In-Content_campaign_KH_area-kao,高雄楠梓,BN_article,第一段_LINE_PROMO,50,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH1,54,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_20260108_內文_EH2,54,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第一段_LINE_PROMO,54,0,0
20260108_In-Content_campaign_KH_area-khh,高雄三民,BN_article,第二段_20260108_內文_EH5,54,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH1,48,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH1,10,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_20260108_內文_EH2,10,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH2,60,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_20260108_內文_EH5,12,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第一段_LINE_PROMO,10,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第一段_LINE_PROMO,59,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH1,12,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄鼓山,BN_article,第二段_20260108_內文_EH5,48,0,0
20260108_In-Content_campaign_KH_area-l-k,高雄楠梓,BN_article,第二段_20260108_內文_EH5,10,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH1,183,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_20260108_內文_EH2,189,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第一段_LINE_PROMO,176,0,0
20260108_In-Content_campaign_KH_area-pre,高雄全區,BN_article,第二段_20260108_內文_EH5,189,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_20260108_內文_EH1,16,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_20260108_內文_EH1,16,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_20260108_內文_EH2,6,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_20260108_內文_EH2,17,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_20260108_內文_EH2,16,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_20260108_內文_EH5,5,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第一段_LINE_PROMO,5,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第一段_LINE_PROMO,14,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄新灣,BN_article,第一段_LINE_PROMO,16,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄三民,BN_article,第二段_20260108_內文_EH1,6,0,0
20260108_In-Content_campaign_KH_area-s-k,高雄前鎮,BN_article,第二段_20260108_內文_EH5,17,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_20260108_內文_H707,65,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_20260108_內文_H713,65,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第一段_LINE_PROMO,62,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第二段_20260108_內文_DH2,65,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第二段_20260108_內文_EH1,62,0,0
20260108_In-Content_campaign_LIFE_actual,生活提案,BN_article,第二段_20260108_內文_EH5,65,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第一段_20260108_內文_5vo1,12,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第一段_20260108_內文_AH2,12,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第一段_LINE_PROMO,12,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第二段_20260108_內文_FH2,12,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第二段_20260108_內文_cqh1,12,0,0
20260108_In-Content_campaign_LIFE_build-,生活提案,BN_article,第二段_20260108_內文_rsh1,12,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_BH11,221,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_BH5,235,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_BH7,67,0,0
20260108_In-Content_campaign_LIFE_expert,生活提案,BN_article,第一段_20260108_內文_BH9,115,0,0
