# ----------------------------------------
# 流量開發: 工作階段主要管道群組 (預設管道群組)
# 帳戶：遠雄房地產
# 資源：遠雄房地產GA4
# ----------------------------------------
# 
# 所有使用者
# 開始日期：20260401
# 結束日期：20260430
工作階段主要管道群組 (預設管道群組),工作階段,互動工作階段,參與度,平均單次工作階段參與時間,每個工作階段的事件數,事件計數,重要活動,工作階段重要事件發生率,總收益
Unassigned,114019,60106,0.5271577544093529,12.921074557749147,6.074145537147317,692568,8,0.00007016374463905139,0
Organic Social,51301,25479,0.49665698524395235,8.460712266817412,5.979824954679246,306771,5,0.00009746398705678251,0
Paid Search,41573,24369,0.5861737185192313,18.633006999735404,7.877805306328627,327504,6,0.00014432444134414164,0
Organic Search,21933,18368,0.8374595358592076,69.52022067204669,13.499110928737519,296076,9,0.00031915378653171023,0
Direct,13919,9394,0.6749048063797687,16.232272433364464,11.24534808535096,156524,6,0.00035922120842014514,0
Referral,917,646,0.7044711014176663,66.20937840785169,13.515812431842965,12394,0,0,0
Paid Social,679,586,0.8630338733431517,34.954344624447714,12.494845360824742,8484,1,0.0014727540500736377,0
Cross-network,532,411,0.7725563909774437,33.971804511278194,10.723684210526315,5705,0,0,0
SMS,54,32,0.5925925925925926,34.27777777777778,11.61111111111111,627,0,0,0
Paid Other,31,17,0.5483870967741935,3.6451612903225805,7.032258064516129,218,0,0,0
Organic Video,13,9,0.6923076923076923,2.8461538461538463,7.923076923076923,103,0,0,0
Organic Shopping,1,1,1,21,19,19,0,0,0
