# ----------------------------------------
# 流量開發: 工作階段主要管道群組 (預設管道群組)
# 帳戶：遠雄房地產
# 資源：遠雄房地產GA4
# ----------------------------------------
# 
# 所有使用者
# 開始日期：20260301
# 結束日期：20260331
工作階段主要管道群組 (預設管道群組),工作階段,互動工作階段,參與度,平均單次工作階段參與時間,每個工作階段的事件數,事件計數,重要活動,工作階段重要事件發生率,總收益
Unassigned,122958,63552,0.51685941541014,12.467989069438344,5.462474991460499,671655,3,0.000024398575123212803,0
Paid Search,102580,54045,0.5268570871514915,21.243517254825502,6.32022811464223,648329,4,0.00003899395593682979,0
Organic Social,28203,17991,0.6379108605467504,9.591142786228415,7.418962521717548,209237,5,0.00017728610431514379,0
Organic Search,26444,21315,0.8060429587051883,70.49508395099078,11.95896989865376,316243,8,0.0002647103312660717,0
Direct,14663,9941,0.6779649457819,21.75653004160131,10.40789742890268,152611,6,0.0004091932073927573,0
Cross-network,1879,1261,0.6711016498137307,24.23895689196381,7.371474188398084,13851,1,0.0005321979776476849,0
Referral,963,616,0.6396677050882659,41.9190031152648,10.384215991692628,10000,1,0.0010384215991692627,0
Paid Social,604,508,0.8410596026490066,27.587748344370862,11.900662251655628,7188,0,0,0
SMS,122,83,0.680327868852459,24.950819672131146,9.885245901639344,1206,0,0,0
Paid Other,24,8,0.3333333333333333,0.375,4.333333333333333,104,0,0,0
Organic Video,14,9,0.6428571428571429,42,14.5,203,0,0,0
