# ----------------------------------------
# 流量開發: 工作階段主要管道群組 (預設管道群組)
# 帳戶：遠雄房地產
# 資源：遠雄房地產GA4
# ----------------------------------------
# 
# 所有使用者
# 開始日期：20260501
# 結束日期：20260531
工作階段主要管道群組 (預設管道群組),工作階段,互動工作階段,參與度,平均單次工作階段參與時間,每個工作階段的事件數,事件計數,重要活動,工作階段重要事件發生率,總收益
Unassigned,130974,76035,0.5805350680287691,16.929421106479147,6.490188892451937,850046,9,0.00006871592835219204,0
Organic Social,66855,45389,0.6789170593074564,4.745105078154214,6.7573105975618875,451760,3,0.00004487323311644604,0
Paid Search,36429,25259,0.6933761563589448,24.474319909961842,9.993164786296632,364041,13,0.0003294078893189492,0
Organic Search,18480,15603,0.8443181818181819,67.27251082251082,13.027110389610389,240741,5,0.00027056277056277056,0
Direct,17805,9455,0.5310306093793878,12.250154450996911,9.129064869418702,162543,4,0.00016849199663016007,0
Paid Social,796,708,0.8894472361809045,28.008793969849247,11.706030150753769,9318,0,0,0
Referral,757,483,0.6380449141347424,52.01981505944518,17.277410832232498,13079,2,0.001321003963011889,0
Cross-network,580,437,0.753448275862069,31.979310344827585,12.303448275862069,7136,0,0,0
Organic Video,435,397,0.9126436781609195,61.87126436781609,19.882758620689657,8649,0,0,0
SMS,113,74,0.6548672566371682,33.230088495575224,10.902654867256636,1232,0,0,0
Paid Other,15,4,0.26666666666666666,3.1333333333333333,7.333333333333333,110,0,0,0
